Year,Month,Paper,Question,Part,Stimulus / Scenario,Question Text,Marks,Markscheme,Explanation
2021,March,22,2,c,India stimulus,Analyse how higher government spending could increase economic growth.,6,Higher government spending can increase total (aggregate) demand / government spending is a component of GDP. Higher government spending on education and training / healthcare / infrastructure can raise productivity / skills / efficiency / quality of labour attract MNCs increase productive potential lower costs of production increase employment / reduce unemployment lower prices increase output increase exports. Government spending on benefits will increase purchasing power of the poor raising consumer expenditure. Increased government subsidies could reduce costs of production increase investment increase profits provide an incentive for firms to produce more.,A maximum of 3 marks for a list-like approach.
2021,March,22,2,d,India stimulus,Discuss whether or not a government can reduce unemployment without increasing inflation.,8,Why it might: workers who have been unemployed for some time may accept jobs without a rise in wages; government spending on education and training may increase both total (aggregate) demand and total (aggregate) supply / may reduce costs of production; government subsidies may encourage firms to produce more and take on more workers and lower prices; tax revenue may be raised to finance any increase in government spending; government may reduce trade union power which could encourage employers to take on more workers.,"Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt. Example answers are provided in the mark scheme for each level."
2021,March,22,3,Stimulus,"Netherlands cycling economy: 1.3 bikes per person, inelastic demand, government promotion",Scenario about bicycles in the Netherlands,-,,
2021,March,22,3,a,Netherlands stimulus,Identify one difference between land and labour.,2,Land is a natural resource labour is a human resource / people; Reward for land is rent reward for labour is wages; Land is likely to be more geographically immobile than labour; Land may be more occupationally mobile than labour; Land may be in more fixed supply / scarcer than labour.,For human resource / people not accepting workers. Accept raw materials for natural resource.
2021,March,22,3,b,Netherlands stimulus,Explain two reasons why demand for a product may be price-inelastic.,4,Lack of close substitutes not able to switch to other products if the price of the product rises; A necessity difficult to do without; Takes up a small part of income change in price will not be significant; Addictive people find it difficult to stop consuming it; New trend brand loyalty being enforced by advertising; Time / short period of time may take time to find an alternative.,One mark each for each of two reasons identified and one mark each for each of two explanations.
2021,March,22,3,c,Netherlands stimulus,Analyse why households in one country may borrow more than households in another country.,6,A lower interest rate reduces the cost of borrowing; Financial institutions may have more funds available to lend in one country making it easier to borrow; Households / financial institutions may be more confident that they can repay employment / income may be rising in one country; Borrowing may be more socially acceptable in one country people may not mind getting into debt; Younger households may be less worried about debt; Rise in unemployment / fall in GDP / recession in one country / lower income may result in borrowing to buy basic necessities; Inflation borrowers will gain if the rate is higher than the rate of interest.,Accept an approach that analyses why households in the other country borrow less. A maximum of 3 marks for a list-like approach.
2021,March,22,3,d,Netherlands stimulus,Discuss whether or not a government should encourage more people to cycle.,8,Why it should: reduce external costs; improve the environment; improve people's health; reduce traffic congestion; may reduce need to import petrol. Why it should not: may involve costs e.g. building cycle paths; may result in unemployment in car industry; may lead to more imports of bicycles; market forces will result in the most efficient allocation of resources.,"Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt. Example answers are provided in the mark scheme for each level."
2021,March,22,4,Stimulus,Egypt smoking rates high; taxes on cigarettes; policies to reduce inflation and improve trade balance,Scenario about Egypt,-,,
2021,March,22,4,a,Egypt stimulus,Identify two qualities of a good tax.,2,certainty / easy to understand / people know how much to pay; convenience / easy to pay; economy / cheap to collect; efficiency / not harm performance of markets; equity / fair / based on ability to pay; flexibility / easy to change,
2021,March,22,4,b,Egypt stimulus,Explain two reasons why governments tax cigarettes.,4,To raise revenue demand for cigarettes is price-inelastic / smoking is addictive / to spend on e.g. education; To discourage consumption / to discourage production they are a demerit good / cigarettes are more harmful than smokers realise / they cause health problems; To reduce external costs / they create external costs impose a cost on third parties / cause pollution / health problems for non-smokers; To improve the current account position cigarettes may be imported.,One mark each for each of two reasons identified and one mark each for each of two explanations.
2021,March,22,4,c,Egypt stimulus,Analyse how a central bank could reduce inflation.,6,A central bank could use contractionary monetary policy. A central bank could increase the rate of interest increase saving reduce borrowing reduce consumer expenditure reduce total (aggregate) demand reduce demand-pull inflation. A central bank could reduce the money supply print less money / sell government bonds restrict bank lending fewer loans may reduce investment reduce consumer expenditure. Raising the exchange rate may reduce the price of imports lowering cost-push inflation. One effect of a lower interest rate might be to lower costs of production reduce cost-push inflation.,Accept but do not expect reference to increasing reserve / liquidity ratio. Maximum of 3 marks for a list-like approach.
2021,March,22,4,d,Egypt stimulus,Discuss whether or not an increase in government subsidies will reduce a deficit on the current account of the balance of payments.,8,"Why it might: reduce costs of production lower prices, making products more internationally competitive; export revenue may rise; import expenditure may fall. Why it might not: firms may not lower prices; firms may be encouraged to be inefficient; demand for exports may not rise if quality is poor; demand for exports and imports may be price-inelastic; other countries may retaliate by imposing trade restrictions / giving subsidies; subsidies to consumers can increase demand for imports and divert exports to the home market; subsidies to producers may increase demand for imports of raw materials and capital goods.","Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt. Example answers are provided in the mark scheme for each level."
2021,March,22,5,Stimulus,"Sweden mixed economy, operating inside PPC, teachers recruited from other professions",Scenario about Sweden,-,,
2021,March,22,5,a,Sweden stimulus,Define a mixed economic system.,2,One with a public / government sector and a private sector / use of market forces; One which makes use of the price mechanism and government directives.,
2021,March,22,5,b,Sweden stimulus,Explain the difference between a point inside a PPC and a point outside a PPC.,4,A point inside indicates unemployed resources inefficient use of resources / wasted resources output is below potential output an attainable point. A point outside is unattainable not enough resources / beyond productive potential / only achievable with more resources / only achievable with better quality resources / not achievable with current resources / will be possible with future economic growth.,Maximum of 2 marks for point inside and a maximum of 2 marks for point outside.
2021,March,22,5,c,Sweden stimulus,Analyse why an actor may decide to become a teacher.,6,Wage rate may be higher enable more goods and services to be purchased higher living standards demand for teachers may increase; Greater job security actors often experience frictional/casual unemployment; More sociable/convenient working hours may fit in more with having children teachers may also enjoy longer holidays; Working conditions may be better may be a safer environment may have better pensions; May find they are better qualified / suited to be a teacher more likely to be successful in the career; May gain more job satisfaction enjoy helping children learn.,Maximum of 3 marks for a list-like approach.
2021,March,22,5,d,Sweden stimulus,Discuss whether all monopolies have low costs of production.,8,Why some have low costs: may earn high profits and so may have incentive to reinvest; may be small e.g. a local monopoly / low total costs; may be large and so may experience economies of scale; state-owned monopolies may be subsidised. Why some do not have low costs: lack of competition may reduce pressure to keep costs low; may be small so do not benefit from economies of scale; may be large so experience diseconomies of scale / high average costs; may be producing in a country with a high inflation rate.,"Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt. Example answers are provided in the mark scheme for each level."
2021,June,21,1,Stimulus,"Nigeria economy: dependence on oil exports, government spending policies, investment issues, rapid population growth, rice tariffs",Source material about changes in the Nigerian economy,-,,
2021,June,21,1,a,Nigeria stimulus,Calculate the value of Nigeria’s exports of goods in 2017.,1,$43.1bn,$ is not essential.
2021,June,21,1,b,Nigeria stimulus,Identify two examples of capital goods.,2,[delivery] vehicles; machines; [office] equipment,
2021,June,21,1,c,Nigeria stimulus,Explain whether Nigeria had a budget deficit or a budget surplus in 2017.,2,budget deficit; government spending exceeded tax revenue; government spending was $19.5bn and tax revenue was $12.9bn.,
2021,June,21,1,d,Nigeria stimulus,Explain how government spending on training may increase tax revenue in the long run.,4,Training may increase skills of workers raise productivity raise wages / incomes increase job opportunities / employment / reduce unemployment increase income tax revenue; Higher wages may increase spending / demand increase indirect tax revenue; A more productive labour force may reduce costs of production raise profits increase corporation tax revenue.,
2021,June,21,1,e,Nigeria stimulus,Analyse how living standards in Nigeria compare with living standards in Ethiopia in 2017.,4,Nigeria's higher GDP per head (income) suggests Nigerians may have been able to enjoy more goods and services; Nigeria has a lower life expectancy suggesting poorer healthcare; Nigeria has a higher average number of years spent at school suggesting the labour force may be more educated; Nigeria has a higher percentage of underweight five-year olds suggesting poor nutrition / income inequality; Overall comment: Nigeria's income per head and average years spent at school suggests a higher living standard but life expectancy and percentage of five years underweight suggests a lower living standard.,
2021,June,21,1,f,Nigeria stimulus,Analyse how a government could encourage firms to increase their investment.,5,Reduce the rate of interest making it cheaper to borrow encouraging borrowing as consumer spending is likely to rise; Lower corporation tax increasing the funds available to invest increasing the incentive to invest as return from investment would rise; Create greater economic certainty / confidence by e.g. keeping inflation low and stable / not changing government spending and taxation frequently making it easier for firms to plan / it can take time to get a return from investment; Provide subsidies/grants/loans decreasing cost of investments encouraging MNCs; Raise tariffs increasing demand for home produced goods; Less government regulation/policies reduces costs for firms more willing to invest.,
2021,June,21,1,g,Nigeria stimulus,Discuss whether or not an increase in Nigeria’s population will benefit its economy.,6,"Reasons why it might: Fall in death rate may indicate improved healthcare; Total (aggregate) demand will increase may enable existing firms to expand / increase output new firms to set up attract MNCs; Labour force may increase causing total (aggregate) supply to increase / raise productive capacity increase output / GDP; May move country towards optimum population if there are unused resources; Net immigration will increase labour force and reduce dependency ratio; More tax revenue can be spent on improving e.g., public services. Reasons why it might not: Birth rate is rising will increase dependency resources which may have increased economic growth may have to be devoted to rearing the children; Labour force may fall in the short run to look after the children; Pressure will be put on the environment there may be more pollution causing overcrowding / poor health; If food output cannot be increased may be more malnourishment/famine / poverty more food is required / food may have to be imported food prices may increase; Population is rising but age structure may be changing as there is net emigration of young people may result in reduction in labour force; [Opportunity] cost for government which has to spend on health/education rather than infrastructure; Increase in output to meet demand results in faster usage of resources in country and shortages.",
2021,June,21,1,h,Nigeria stimulus,Discuss whether or not an increase in Nigeria’s import tariff on rice would increase the output of Nigerian rice.,6,"Reasons why it might: A higher tariff may raise the price of imported rice may reduce demand for / consumption of imported rice may cause Nigerians to demand more home-produced rice as it is cheaper effect would be greater, the greater the elasticity of demand for the import of rice may enable Nigerian rice farmers to raise their price / make more profit; A tariff may raise government tax revenue some of this could be used to subsidise Nigerian rice farmers / modernise farming methods and so raise productivity. Reasons why it might not: Nigerian farmers are less productive than Asian competitors have high(er) costs of production Nigerian price may still be higher even with the higher import tariff; The supply of Nigerian rice may be price-inelastic so even if Nigerian farmers could sell their rice for more, they may have difficulties adjusting supply; More Nigerian rice will not be sold if quality is poor consumers my prefer the varieties of rice produced in other countries other countries retaliate by imposing higher tariffs current account surplus may be reduced; Increase in import tariffs may be small making little difference to import prices and consumption; Not enough resources/ factors of production e.g., farmers to produce more rice in Nigeria.",
2021,June,21,2,Stimulus,Great Pacific Garbage Patch pollution affecting fishing economies and increasing social costs,Scenario about ocean plastic pollution,-,,
2021,June,21,2,a,Pacific pollution stimulus,Identify the two types of costs that make up social cost.,2,Private costs; External costs.,
2021,June,21,2,b,Pacific pollution stimulus,Explain two causes of a shift to the right in the demand curve for fish.,4,Rise in the price of a substitute for fish people will switch away from buying e.g. chicken to buying fish; Fall in the price of a complement for fish people will buy more of the complement; A rise in income people will be able to afford to buy more fish; A report stating eating fish is good for health / changes in tastes people may buy more fish to try to increase their life expectancy; Increase in population size more people to buy fish; A successful advertising campaign may persuade more people to buy fish.,One mark each for each of two causes identified and one mark for each of two explanations.
2021,June,21,2,c,Pacific pollution stimulus,Analyse how cleaning up pollution could benefit an economy.,6,"Will reduce external costs improve health / less sickness raise quality of life / standard of living; Less (government) spending on healthcare more can be spent on other priorities e.g., education; Cleaning up pollution may create jobs / employment reduce unemployment may attract MNCs increase in incomes reduction in poverty; Recycling of some of the material collected could increase the country's output less use of non-renewable resources; Better working conditions productivity of labour could increase reduce costs of production increase output reduce unemployment reduce inflation; Improve the environment Increase tourism increase exports of services improve the current account position; Reduction in ocean pollution will improve fish stock improve quality of fish greater catches of fish leading to rise in incomes / revenue / GDP.",
2021,June,21,2,d,Pacific pollution stimulus,Discuss whether or not countries specialising benefits consumers.,8,"Why it might: countries may specialise in what they are best at producing; output may rise; greater availability; costs of production may fall; prices may fall; quality may rise; better paid jobs increasing purchasing power of consumers. Why it might not: a country may gain a monopoly of production, raising price and lowering quality; choice may be reduced / greater reliance on imports; other countries' producers may have lower health and safety standards; supply problems may affect a particular country, cutting off supplies; trade disputes may cut off supplies.","Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt."
2021,June,21,3,Stimulus,"US economy: very low unemployment, low inflation, rising productivity but persistent poverty",Scenario about US macroeconomic performance,-,,
2021,June,21,3,a,US stimulus,Define cyclical unemployment.,2,Workers without jobs due to a lack or fall in total (aggregate) demand; more people unemployed than there are job vacancies; in a recession / economic downturn.,Nothing for a fall in demand for a product.
2021,June,21,3,b,US stimulus,Explain two ways a firm could increase the productivity of its workers.,4,Raise wages / performance related pay / commissions increase motivation of workers; Provide training increase workers' skills / efficiency; Division of labour by firm enables greater specialisation; Buy capital goods / invest workers will be working with better equipment; Reduce working hours workers may feel fresher / more alert; Improve working conditions reduce stress; Subsidise workers' healthcare making them fitter / fewer days lost through illness; Working from home reduce stress from travelling.,One mark each for each of two ways identified and one mark for each of two explanations.
2021,June,21,3,c,US stimulus,Analyse the advantages of a low rate of inflation.,6,Low inflation means prices are still rising but not a high rate; May stop purchasing power being reduced too much / wages may keep pace with inflation; May increase international price competitiveness as may be below the inflation rate of other countries increasing exports reducing imports improving the current account position; May create greater certainty / stability as costs may not be rising significantly encouraging firms / MNCs to invest increasing output / GDP increasing employment / lowering unemployment; May encourage saving as real value may be maintained provide funds for investment; It may raise profit if demand-pull encouraging firms to expand increasing employment / lowering unemployment; May stop a random redistribution of income protecting savers; Low menu costs reduce pressure on firms' costs of production.,Increasing employment / lowering unemployment' can only be credited once.
2021,June,21,3,d,US stimulus,Discuss whether or not a fall in a country’s unemployment rate will reduce poverty in that country.,8,"Why it might: increase the income of those who gain jobs; absolute poverty may be reduced with more people being able to buy basic necessities; tax revenue may rise; the government could spend more on benefits for the poor; the government could spend more on education, reducing future poverty. Why it might not: jobs may be part-time, low-paid, at national minimum wage; jobs may be seasonal; relative poverty may increase if extra jobs are gained by the well-paid; the unemployment rate may fall but unemployment may rise if there are more people in the labour force; may be more retired people living in poverty; sick and disabled people may not be able to get out of poverty; unemployment is only one of a number of factors affecting poverty; absolute poverty may remain.","Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt."
2021,June,21,4,Stimulus,"Canada labour force: ageing population, policies to increase female participation, falling exchange rate and rising consumer expenditure",Scenario about Canada,-,,
2021,June,21,4,a,Canada stimulus,Define the labour force.,2,Those who are economically active; Those willing and able to (work); The employed and the unemployed.,
2021,June,21,4,b,Canada stimulus,Explain two causes of an ageing population.,4,A fall in the death rate / increase in life expectancy resulting from better healthcare / better nutrition / higher income / better lifestyles; A fall in the birth rate resulting from higher cost of raising children / fall in child benefit / increase in women working / increase in use of family planning / fall in infant mortality / reduction in need for children to support parents due to provision of state pensions or healthcare; Rise in net emigration of mainly young-aged people resulting from higher incomes abroad / increase in job opportunities abroad.,One mark each for each of two causes identified and one mark for each of two explanations.
2021,June,21,4,c,Canada stimulus,Analyse how a fall in the value of a country’s foreign exchange rate could reduce a deficit on the current account of its balance of payments.,6,Foreign exchange rate is the price / value of one currency in terms of another currency or currencies a fall in the value of a foreign exchange rate means that the domestic currency buys less foreign currency / depreciates; A fall will reduce price of exports raise demand for exports increase export revenue money flows into country which will reduce Balance of Payments deficit if demand is elastic; Increase price of imports reduce demand for imports reduce import expenditure reduces the money flows out of the country which reduces the Balance of Payments deficit if demand is elastic.,
2021,June,21,4,d,Canada stimulus,Discuss whether or not an economy will benefit from an increase in consumer expenditure.,8,Why it might: may increase total (aggregate) demand which may encourage firms to expand; cause economic growth; reducing cyclical unemployment; raise tax revenue enabling the government to spend more on education and healthcare; eliminate / reduce deflation; raise inflation to the inflation target rate. Why it might not: may cause demand-pull inflation especially if economy is at full capacity; may increase spending on imports; may divert exports to the home market; may cause a deficit on the current account of the balance of payments; may reduce long run economic growth as resources may be diverted away from producing capital goods; may increase the consumption of demerit goods.,"Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt."
2021,June,21,5,Stimulus,Australia drought reducing agricultural output; secondary and tertiary sectors stronger; central bank policies to avoid deflation,Scenario about Australia,-,,
2021,June,21,5,a,Australia stimulus,"Identify two industries, other than agriculture, that operate in the primary sector.",2,"Mining, fishing, forestry, oil extraction",
2021,June,21,5,b,Australia stimulus,Explain two possible disadvantages to an economy of a fall in agricultural output.,4,Shortage of food / famine may have to import more food export less food worsen the current account position; Price of food may rise may increase poverty / might worsen health; Less food production unemployment may increase if lack of labour mobility / structural unemployment; May result in migration from rural to urban areas putting pressure on resources in urban areas; Economic growth / GDP will fall if lower agricultural output is not offset by rise in output of secondary and tertiary sectors.,One mark each for each of two disadvantages identified and one mark for each of two explanations.
2021,June,21,5,c,Australia stimulus,Analyse how a central bank could avoid deflation.,6,Deflation is a fall in the price level; The central bank could lower the rate of interest reduce return from saving encourage borrowing encourage a rise in consumer expenditure encouraging firms to raise their prices; It could increase the money supply increasing bank lending increasing investment; Expansionary monetary policy increases total (aggregate) demand causing prices to rise.,
2021,June,21,5,d,Australia stimulus,Discuss whether or not a firm should have growth as its main objective.,8,"Why it should: may increase market share; may increase market power; may increase profits / keep shareholders happy; may enable the firm to take greater advantage of economies of scale; may increase pay and job security of managers / directors; may make it more difficult for another firm to take it over as will involve a greater cost. Why it might not: if demand is falling, survival may be a more appropriate main objective; if demand is limited e.g. a niche market, growth may be an unlikely objective; profit maximisation as an objective, if successful, will provide the funds for growth in the longer run; state-owned enterprise may have social welfare as an objective; growth may result in diseconomies of scale; growth may put pressure on workers which could lower productivity / result in higher labour turnover; may make it more attractive for a firm to take it over.","Levels of response: Level 3 (6-8 marks) for reasoned discussion examining both sides; Level 2 (3-5 marks) for reasoned discussion, may be one-sided; Level 1 (1-2 marks) for simple attempt."
2021,June,22,1,Stimulus,Chile economy and cherry exports; specialisation risks; population structures of Chile and Haiti; evidence of inequality and market failure,Source material about Chilean cherries and population structures,-,,
2021,June,22,1,a,Chile stimulus,Calculate Chile’s agricultural output in 2017.,1,$11.76bn / $11 760 000 000 / $11 760m,Accept $11.8bn and $12bn. $ is not essential.
2021,June,22,1,b,Chile stimulus,Identify two disadvantages of a country specialising.,2,demand may fall / new competitors may appear; supply/output may fall / diseases / natural disasters / bad weather may affect agricultural output / costs may rise; non-renewable resources may run out; structural unemployment may occur; reliance on imports no longer produced by home country / overdependency on other countries,One mark each for each of two disadvantages. Rely on a small number of industries is not sufficient.
2021,June,22,1,c,Chile stimulus,Explain one reason why demand for cherries is price-elastic.,2,A luxury product they do not have to be purchased / not essential / not a necessity; Has close substitutes example / rise in price will cause some people to switch to rival products.,"In terms of close substitutes, also accept: fall in price will cause some people to switch towards this product and away from rival products. One mark for the reason identified and one mark for the explanation. A candidate who writes a luxury product and has close substitutes and no more has identified two reasons, so just one mark. If a candidate identifies one of the two reasons but does not explain it and then identifies the second reason and explains it, the second reason can be taken and with the explanation, 2 marks."
2021,June,22,1,d,Chile stimulus,Explain how Chile’s population structure differs from Haiti’s population structure.,4,Chile has a higher proportion of its population aged over 65 / Haiti a lower proportion aged over 65; Chile has a lower proportion of the population aged under 15 / Haiti has a higher proportion aged under 15; Chile is likely to have a lower birth rate / Haiti is likely to have a higher birth rate; Chile likely to have a lower death rate / Haiti is likely to have a higher death rate; Chile's population pyramid indicates a relatively high level of development/high income country / Haiti's population pyramid indicates a relatively low level of development/low income country; Chile's population pyramid is less pyramid shaped / more stationary / constrictive / bulges out in the middle / more egg-shaped / Haiti's is more pyramid shaped / more expansive; Lower dependency ratio in Chile / higher dependency ratio in Haiti; Higher proportion of population of working age in Chile / lower proportion of population of working age in Haiti; Higher population size in Chile / lower population size in Haiti; Chile has a higher average age / older population / Haiti has a lower average age population / younger population.,"Accept for the first and second points other relevant age ranges e.g. over 60, under 10. Accept longer life expectancy for lower death rate and shorter life expectancy for higher death rate. Note that each country overall has more females than males, so not a difference."
2021,June,22,1,e,Chile stimulus,Analyse why China buys most of its cherries from Chile.,4,Chile has high production standards cherries are likely to be of a high quality; China does not impose tariffs on Chilean cherries may keep their price low.,Free trade agreement on its own is not sufficient.
2021,June,22,1,f,Chile stimulus,Analyse why Chilean astronomers are paid more than Chilean farm workers.,5,Most astronomers have a university degree high cost of training / long period of training well qualified / well educated / high level of knowledge highly productive / highly skilled / efficient in short supply high demand more inelastic demand more inelastic supply; Most work in the public sector government may be more willing / able to pay higher wages public sector workers are more likely to belong to a trade union have stronger bargaining power.,Also accept an approach based on an analysis of why Chilean farm workers are paid less than Chilean astronomers. This may include reference to immigrant farm workers who may be prepared to accept relatively low wages and Chilean farm workers being replaced by capital equipment / more replaceable than astronomers.
2021,June,22,1,g,Chile stimulus,Discuss whether or not Chilean consumers would benefit from more government intervention in the economy.,6,Reasons why they might: evidence of market failure merit goods may be underproduced as underconsumed demerit goods may be overproduced as overconsumed external costs could be reduced external benefits may be increased external costs / external benefits are not taken into account by the private sector public goods may not be produced no profit incentive to make them as there can be free riders inequality poor consumers may lose out / there may be poverty resources may not be devoted to producing what the poor need may not be able to afford prices charged government subsidies can lower prices government could set maximum prices lower prices of necessities government could control (private sector) monopoly power prevent abuse of market power government investment in education could lower prices / raise quality of output. Reasons why they might not: government failure may occur e.g. government may lack information; market forces can provide wide choice of products may be consumer sovereignty; profit incentive industries may respond to changes in consumer demand; efficient industries prices may be low quality may be high; government intervention in the form of nationalisation may reduce competition; government taxes / tariffs / regulation / minimum wages may increase costs raise prices; maximum prices could reduce availability of products; government limits on immigration may reduce availability of products / raise prices.,
2021,June,22,1,h,Chile stimulus,Discuss whether or not the Haitian economy would benefit from fewer of its people working in Chile.,6,"Reasons why it might: wages may be low in Chile work involves unskilled labour; employment may be rising in Haiti the country could keep more of its skilled workers; larger labour force / more workers higher total demand increase GDP / increase economic growth / increase productive potential increase living standards increase exports; rise in the numbers employed in Haiti could increase tax revenue may enable more spending on e.g. education; fewer parents may leave behind dependent relatives reduce burden on the government; jobs could be found in other countries. Reasons why it might not: wages may be higher in Chile fewer emigrant workers may send money home living standards may be lower lower spending; less money coming into the country may increase a current account deficit; job opportunities may be higher in Chile unemployment may rise in Haiti; if unemployment rises in Haiti, cost of unemployment benefits may rise opportunity cost / higher taxation; opportunities to gain new skills may be reduced these skills could be brought back into the country; may reduce pressure to invest / spend on capital equipment reduce advances in technology / reduce increases in efficiency / productivity; may increase overcrowding / overpopulation increase external costs / pollution pressure on resources.","For an approach which discusses whether or not the Haitian economy benefits from its people working in Chile, award a maximum of 3 marks."
2021,June,22,2,Stimulus,"Cairo inequality: crowded housing, unemployment around 10%, rich households with luxury homes",Scenario about inequality in Cairo,-,,
2021,June,22,2,a,Cairo stimulus,"Identify two basic necessities, other than housing.",2,"Food, water, clothing, healthcare and education.","Accept any relevant basic necessity e.g. heating or electricity. If more than two examples given, only consider the first three."
2021,June,22,2,b,Cairo stimulus,Explain how frictional unemployment differs from cyclical unemployment.,4,Frictional unemployment arises from people being in between jobs may be waiting for a better paid job / may be seasonally unemployed / may have worked on a short-term contract / may lack information about vacancies may exist even when there is full employment / may be self-correcting. Cyclical unemployment is caused by a lack of total (aggregate) demand more people unemployed than there are job vacancies may arise from a recession / economic downturn may need government action to reduce it. Frictional unemployment would be reduced by a rise in labour mobility cyclical unemployment would not be. Frictional unemployment may be short term cyclical unemployment may be long term.,Up to 2 marks for each type of unemployment.
